Company Name,Address,NJIC#,Website,Email,Phone,Street Address,City,Country,State,Zip
Ridgewood Moving Services Co.,"575 Corporate Drive, Suite 405, Mahwah, Bergen, NJ, 07430",39PC000430,http://www.ridgewoodmoving.com/,info@ridgewoodmoving.com,201-529-2211,466 Cedar Hill Ave., Wyckoff,Bergen,NJ,7481
Superior International Packing,"217 Washington Ave., Carlstadt, Bergen, NJ, 07072",39PC000567,No Website Found,infony@midwestorient.com,908-241-0330,217 Washington Ave., Carlstadt,Bergen,NJ,7072
Top Notch Moving LLC,"55 Green St., Hackensack, NJ 07601",39PM001237,https://www.topnotchmovingnj.com/,dave@topnotchmovingnj.com,201-518-0169,217 Washington Ave., Carlstadt,Bergen,NJ,7072
"Wade Odell & Wade Padded Van Service, Inc.","80 Greenwood Avenue, Midland Park, Bergen, NJ, 07432",39PC001299,http://www.wowmoving.com/,eodell@wowmoving.com,201-493-9300,80 Greenwood Avenue, Midland Park,Bergen,NJ,7432
Hometown Moving Co.,"719 Main Street, Lumberton, Burlington, NJ, 08048",39PC000686,http://www.hometownmovingnj.com/,movingandstorage@aol.com,609-261-8646,719 Main Street, Lumberton,Burlington,NJ,8048
"McCollister's Transportation, Inc.","8 Terri Lane, Burlington, Burlington, NJ, 08016",39PC000128,http://mccollisters.com,hbrolis@mccollisters.com,800-257-9595,8 Terri Lane, Burlington,Burlington,NJ,8016
Simonik Transportation & Warehousing Group LLC,"220 Route 70, Unit B, Medford, Burlington, NJ, 08055",39PC000064,http://www.simonikallied.com/,rkandetzke@simonikallied.com,800-257-7462,8 Terri Lane, Burlington,Burlington,NJ,8016
T & N Van Service,"1510 Lancer Drive, Moorestown, Burlington, NJ, 08057",39PC000651,http://tnvan.com,taddeir@tnvan.com,856-802-2880,1510 Lancer Drive, Moorestown,Burlington,NJ,8057
Transtar Moving Systems,"925 North Lenola Road, Moorestown, Burlington, NJ, 08057",39PC000588,http://www.transtarmoving.com/,customerservice@transtarmoving.com,856-727-1060,925 North Lenola Road, Moorestown,Burlington,NJ,8057
"Twin Oaks Moving Co., Inc.","499 Sykesville Rd., P. O. Box 6310, Wrightstown, Burlington, NJ, 08562",39PC000800,http://www.twinoaksmoving.com,joconnor@twinoaksmoving.com,609-724-1778,925 North Lenola Road, Moorestown,Burlington,NJ,8057
A-1 America's Best Moving,"701 Sycamore Court, Laurel Springs, Camden, NJ, 08021",39PM001022,http://www.a1americasbestmoving.com,a1americasbest@comcast.net,856-627-8540,701 Sycamore Court, Laurel Springs,Camden,NJ,8021
Anchor Moving & Storage,"8295 National Highway Suite B, Pennsauken, Camden, NJ, 08110",39PC001081,http://www.movewithanchor.com,info@movewithanchor.com,856-787-9898,8295 National Highway Suite B, Pennsauken,Camden,NJ,8110
Aron Movers,"408 Newton Avenue, Oaklyn, Camden, NJ, 08107",39PM000336,http://www.aronmovers.com/,joe@aronmovers.com,856-854-1993,408 Newton Avenue, Oaklyn,Camden,NJ,8107
"O'Mara Meehan Piano Moving, Inc.","350 Benigno Blvd, Bellmawr, Camden, NJ, 08031",39PM000778,http://www.omara-meehan.com/,info@omara-meehan.com,856-931-7700,350 Benigno Blvd, Bellmawr,Camden,NJ,8031
Sinclair Moving & Storage Inc.,"361 Cooper Road, West Berlin, Camden, NJ, 08091",39PC000103,http://www.sinclairmoving.com/,bob@sinclairmoving.com,856-753-7400,361 Cooper Road, West Berlin,Camden,NJ,8091
Wayne Moving & Storage of N.J.,"400 Griffith-Morgan Lane, Pennsauken, Camden, NJ, 08110",39PC000672,http://www.waynemoving.com,cswanson@waynemoving.com,856-665-7557,400 Griffith-Morgan Lane, Pennsauken,Camden,NJ,8110
"Clark's Moving & Storage, Inc.","305 North Railroad Avenue, Rio Grande, Cape May, NJ, 08242",39PC000230,http://www.clarksmoving.net/,clarksmoving@yahoo.com,609-889-0780,305 North Railroad Avenue, Rio Grande,Cape May,NJ,8242
Brantley Brothers Moving & Storage,"168 Elizabeth Avenue, Newark, Essex, NJ, 07108",39PC000231,http://www.brantleybros.com/,brntmoving@brantleybros.com,973-824-9500,168 Elizabeth Avenue, Newark,Essex,NJ,7108
"First Class Movers, Inc.","18 Passaic Ave., Fairfield, Essex, NJ, 07004",39PC000979,http://www.myfirstclassmovers.com,mikea@myfirstclassmovers.com,973-727-9824,18 Passaic Ave., Fairfield,Essex,NJ,7004
"General Moving Carriers, LLC","228 Burnett Ave., P. O. Box 7, Maplewood, Essex, NJ, 07040",39PC000874,http://www.genmove.com/,jacob@genmove.com,973-761-0100,18 Passaic Ave., Fairfield,Essex,NJ,7004
"Harrington Moving & Storage, Inc.","202 Rutgers St., Maplewood, Essex, NJ, 07040",39PC000755,http://www.harringtonmovers.com/,jeff@harringtonmovers.com,973-313-9614,202 Rutgers St., Maplewood,Essex,NJ,7040
Monroe Moving Pro,"58 Clinton Rd., Fairfield, NJ 07006",39PC001248,https://monroemovingpro.com/,manager@monroemovingpro.net,908-382-6650,202 Rutgers St., Maplewood,Essex,NJ,7040
Two Men and a Truck,"18 Industrial Rd., Fairfield, Essex, NJ, 07004",39PM001186,http://www.twomen.com,jason.washburn@twomen.com,973-512-2271,18 Industrial Rd., Fairfield,Essex,NJ,7004
Olympia Moving & Storage,"66 Friars Blvd., Thorofare, Gloucester, NJ, 08086",39PC001252,https://olympiamoving.com/,mgilmartin@olympiamoving.com,800-222-4744,66 Friars Blvd., Thorofare,Gloucester,NJ,8086
South Jersey Moving Inc.,"5 Kenneth Ct., Sewell, Gloucester, NJ, 08080",39PM000736,http://www.southjerseymoving.com,sjmoving@comcast.net,856-784-7477,5 Kenneth Ct., Sewell,Gloucester,NJ,8080
Steedle Moving & Storage,"1152 Crown Point Road, suite 104, Bldg. 1, West Deptford, Gloucester, NJ, 08093",39PC000453,http://www.steedlemoving.com,A1-steedle@comcast.net,856-848-4854,5 Kenneth Ct., Sewell,Gloucester,NJ,8080
A. Pensa Modern Movers PC00052,"1110 Kennedy Blvd., Union City, Hudson, NJ, 07087",39PC000052,http://www.apensamovers.com/,apensamovers@aol.com,201-863-3560,1110 Kennedy Blvd., Union City,Hudson,NJ,7087
All Season Movers Inc.,"909 Newark Turnpike, Kearny, NJ 07032",39PC000416,https://allseasonmovers.com/,probbie@allseasonmovers.com,201-997-8034,1110 Kennedy Blvd., Union City,Hudson,NJ,7087
Alpha Moving & Storage,"234 16th Street, Jersey City, Hudson, NJ, 07310",39PC000710,http://www.alphamoving.com,sales@alphamoving.net,201-656-6511,234 16th Street, Jersey City,Hudson,NJ,7310
"Art Van Lines USA, Inc.","501 Penhorn Ave, 1500 Main Avenue, Secaucus, Hudson, NJ, 07094",39PC000845,No Website Found,kato@0123usa.com,201-262-0123,234 16th Street, Jersey City,Hudson,NJ,7310
Certified Moving & Storage,"120 Enterprise Avenue South, Suite 5, Secaucus, Hudson, NJ, 07094",39PC000837,http://www.certifiedmoving.com,sdash@certifiedmsi.com,201-866-6168,234 16th Street, Jersey City,Hudson,NJ,7310
Eagle Van Lines Moving & Storage,"35 Fayette Pl., Unit 15, Jersey City, Hudson, NJ, 07306",39PC000833,http://www.eaglevanlinesmoving.com,internet@eaglevanlines.int,888-324-5329,234 16th Street, Jersey City,Hudson,NJ,7310
Kushner Moving Group,"501 Penhorn Avenue, #6, Secaucus, Hudson, NJ, 07094",39PC00129600,https://www.kushnermoving.com/,alexander@kushnermoving.com,201-210-2576,234 16th Street, Jersey City,Hudson,NJ,7310
L&L Van Lines LLC,"564 Observer Highway, Hoboken, Hudson, NJ, 07030",39PC000463,http://www.landlmovers.com/,firesout39@aol.com,201-659-3633,564 Observer Highway, Hoboken,Hudson,NJ,7030
Moishe's Moving Systems LLC,"215 Coles St., Jersey City, Hudson, NJ, 07310",39PM000865,http://www.moishes.com,esoonica@moishes.com,201-659-2801,215 Coles St., Jersey City,Hudson,NJ,7310
Molloy Moving & Storage Inc.,"900 South 2nd St., Harrison, Hudson, NJ, 07029",39PC000537,http://www.molloybros.com/,sseligson@molloybros.com,800-645-2798,900 South 2nd St., Harrison,Hudson,NJ,7029
"WG Moving, Inc.","235 West 1st St., Bayonne, Hudson, NJ, 07002",39PC001117,https://wgmoving.us/,donna@whiteglovemoving.us,866-364-5353,235 West 1st St., Bayonne,Hudson,NJ,7002
"White Glove Moving & Storage, Inc.","235 West 1st St., Bayonne, Hudson, NJ, 07002",39PC000715,http://www.whiteglovemoving.us/index.php,info@whiteglovemoving.us,201-653-1511,235 West 1st St., Bayonne,Hudson,NJ,7002
"Zip to Zip Moving, Inc.","58 Jacobus Ave., Kearny, Hudson, NJ, 07032",39PM001190,https://www.ziptozipmoving.com/en/welcome,ziptozipmoving@gmail.com,973-500-6050,58 Jacobus Ave., Kearny,Hudson,NJ,7032
"Bohren's Moving & Storage, Inc.","3 Applegate Drive, Robbinsville, Mercer, NJ, 08691",39PC000010,http://www.bohrensmoving.com/,tfroehlich@bohrensmoving.com,800-326-4736,3 Applegate Drive, Robbinsville,Mercer,NJ,8691
"Broadway Moving & Storage Co., Inc.","1000 Nottingham Way, Trenton, Mercer, NJ, 08609",39PC000305,http://www.broadwaymovers.com/,info@broadwaymovers.com,609-396-4561,1000 Nottingham Way, Trenton,Mercer,NJ,8609
"State-Wide Moving & Storage Co., Inc.","131 Broad St., Suite A, Hightstown, Mercer, NJ, 08520",39PC000698,http://www.statewidemovingco.com/,statewidemoving@gmail.com,609-443-0756,1000 Nottingham Way, Trenton,Mercer,NJ,8609
"Absolute Moving Co., Inc.","944 Route 33, Monroe, Middlesex, NJ, 08831",39PM000847,http://www.absolutemoving.net,absolutemoving@comcast.net,732-545-8758,944 Route 33, Monroe,Middlesex,NJ,8831
"All Brunswick Van Lines, Inc.","182 K Ridge Rd., Dayton, Middlesex, NJ, 08810",39PC000435,https://allbrunswick.com,smorgen@allbrunswick.com,732-274-1881,182 K Ridge Rd., Dayton,Middlesex,NJ,8810
All Jersey Moving & Storage,"240 North Randolphville Rd., Piscataway, Middlesex, NJ, 08854",39PC000662,http://www.alljerseymovers.com/,mark@alljerseymovers.com,800-922-9109,240 North Randolphville Rd., Piscataway,Middlesex,NJ,8854
"Beltmann Group, Inc.","6 Corporate Place, Piscataway, Middlesex, NJ, 08854",39PC001021,http://www.beltmann.com,james.essex@beltmann.com,973-424-1280 x21014,6 Corporate Place, Piscataway,Middlesex,NJ,8854
"Big G Movers, Inc.","26 Oliver St., Suite 001, Metuchen, Middlesex, NJ, 08840",39PM001078,https://biggmoversinc.com/,biggmovers@gmail.com,848-218-1485,6 Corporate Place, Piscataway,Middlesex,NJ,8854
Jersey Moving Pro LLC,"1460 Livingston Ave., Bldg. 700, North Brunswick, Middlesex, NJ, 08902",39PC001267,https://jerseymovingpro.com/,zoly@jerseymovingpro.com,908-873-4600,6 Corporate Place, Piscataway,Middlesex,NJ,8854
Joseph's Movers,"533 Watson Avenue, Woodbridge, Middlesex, NJ, 07095",39PM000068,http://www.josephsmovers.net,,732-636-1255,533 Watson Avenue, Woodbridge,Middlesex,NJ,7095
"M&M Movers, Inc.","201 Circle Drive North, #106, PIscataway, Middlesex, NJ, 08854",39PC001202,https://www.wannamoveit.com,max@wannamoveit.com,732-250-0869,533 Watson Avenue, Woodbridge,Middlesex,NJ,7095
"New World Van Lines of NJ, Inc.","108 Melrich Road, Cranbury, Middlesex, NJ, 08512",39PC000507,http://www.nwvl.com,nwnj@nwvl.com,609-655-6868,108 Melrich Road, Cranbury,Middlesex,NJ,8512
Palmieri Movers Inc.,"240 North Randolphville Rd., Piscataway, NJ 08854",39PC001230,https://www.palmierimoversandstorage.com/,movepalmieri@gmail.com,732-356-2454,108 Melrich Road, Cranbury,Middlesex,NJ,8512
"Relocation Express Moving & Storage, LLC","200 Mill Rd., Edison, Middlesex, NJ, 08817",39PC001264,http://www.relocation-express.com/,mlangley@arpinamerica.com,972-406-8220,200 Mill Rd., Edison,Middlesex,NJ,8817
Strongmile Movers LLC,"406 Main St., Suite 11, Metuchen, Middlesex, NJ, 08840",39PM001161,https://www.strongmilemovers.com,strongmilemovers@gmail.com,732-754-3626,200 Mill Rd., Edison,Middlesex,NJ,8817
Victory Worldwide Transportation Inc.,"1045 Cranbury South River Rd., #2-F, Jamesburg, Middlesex, NJ, 08831",39PC000197,http://www.victoryworldwide.com/,moveus@victoryworldwide.com,732-719-0700,200 Mill Rd., Edison,Middlesex,NJ,8817
Zona Express Corp.,"4000 Bordentown Ave., Suite 10, Sayreville, Middlesex, NJ, 08872",39PM001284,http://www.zonaexprescorp.com,info@zonaexpresscorp.com,551-400-0040,200 Mill Rd., Edison,Middlesex,NJ,8817
"Econo-Line Movers, Inc.","1924 Highway 35, Suite 9, Wall, Monmouth, NJ, 07719",39PM000534,http://www.econolinemovers.com,jim@econolinemovers.com,732-859-6588,200 Mill Rd., Edison,Monmouth,NJ,8817
"Freehold Movers, Inc.","66 Leesville Rd., Jackson, Monmouth, NJ, 08527",39PM000618,https://www.freeholdmovers.com/,freeholdmovers@aol.com,732-928-9200,66 Leesville Rd., Jackson,Monmouth,NJ,8527
"Jersey Shore Moving & Storage, Inc.","2003 Atlantic Ave., Manasquan, Monmouth, NJ, 08736",39PC001181,http://www.jerseyshoremoving.com,jerseyshoremoves@aol.com,732-295-9988,2003 Atlantic Ave., Manasquan,Monmouth,NJ,8736
Lowy's Moving Service,"5043 Industrial Rd., Wall, Monmouth, NJ, 07727",39PC000007,http://www.lowys.com/,slowy@lowys.com,732-775-4118,5043 Industrial Rd., Wall,Monmouth,NJ,7727
Moorish Express Moving & Delivery,"501 Hwy 35 South, Neptune, Monmouth, NJ, 07753",39PC001049,https://www.moorishtrucking.com,info@moorishtrucking.com,732-544-2205,501 Hwy 35 South, Neptune,Monmouth,NJ,7753
"Move It Away Today, LLC","98 Industrial Ct., Freehold, NJ 07728",39PM001293,https://moveitawaytoday.com/,gawlowskij@msn.com,855-504-6683,501 Hwy 35 South, Neptune,Monmouth,NJ,7753
New Jersey Coast Transfer,"260 Jeffrey St., Long Branch, Monmouth, NJ, 07740",39PC000192,http://www.njcoasttransfer.com,anndou@msn.com,732-229-0566,260 Jeffrey St., Long Branch,Monmouth,NJ,7740
"Reilly Moving & Storage, Inc.","14 Pennsylvania Avenue, Spring Lake, Monmouth, NJ, 07762",39PC000602,http://www.reillymoving.net/,reillymoving@aol.com,732-449-1213,14 Pennsylvania Avenue, Spring Lake,Monmouth,NJ,7762
"Teacher's Moving, Inc.","1750 Brielle Ave., Unit B5, Ocean, Monmouth, NJ, 07712",39PC000057,http://www.teachersmoving.com,rick@teachersmoving.com,732-493-0121,14 Pennsylvania Avenue, Spring Lake,Monmouth,NJ,7762
The Moving Guys,"240 Boundary Rd., Marlboro, Monmouth, NJ, 07746",39PC001031,https://www.movingguysnj.com,jrusso@movingguysnj.com,732-333-1800,240 Boundary Rd., Marlboro,Monmouth,NJ,7746
Armstrong Relocation,"9 Aspen Dr., Randolph, Morris, NJ, 07869",39PC001207,https://newjersey.armstrongrelocation.com/,mdimarzo@goarmstrong.com,800-222-0875,9 Aspen Dr., Randolph,Morris,NJ,7869
Chatham Moving & Storage,"223 N. Passaic Avenue, Chatham, Morris, NJ, 07928",39PC000349,http://www.chathamstorage.com/,info@chathamstorage.com,973-635-7100,223 N. Passaic Avenue, Chatham,Morris,NJ,7928
"J. D. Carton & Son, Inc.","105 W. Dewey Avenue, Bldg. F, Unit 3, Suite 506, Wharton, Morris, NJ, 07885",39PC000074,http://www.jdcarton.com/,briancarton@jdcarton.com,973-781-1600,223 N. Passaic Avenue, Chatham,Morris,NJ,7928
"Peer's Moving Co., Inc.","76 N. Sussex Street, Dover, Morris, NJ, 07801",39PC00022,http://www.peersmoving.com,peersmoving@gmail.com,973-366-2898,76 N. Sussex Street, Dover,Morris,NJ,7801
Roc Relocations LLC,"7 Elizabeth Ave., Pompton Plains, NJ 07444",39PC001304,https://www.rocrelocations.com/,rocrelocations@gmail.com,973-303-0515,76 N. Sussex Street, Dover,Morris,NJ,7801
Tiger Moving & Storage,"9 Astro Place, Rockaway, Morris, NJ, 07866",39PC001007,http://www.movenewjersey.com/,info@movenewjersey.com,888-227-6642,9 Astro Place, Rockaway,Morris,NJ,7866
"Universal Relocations, Inc.","343 New Rd., Suite 4, Parsippany, Morris, NJ, 07059",39PC001152,https://www.universalrelocations.com/,anu.dattani@universalrelocations.com,201-331-6873,9 Astro Place, Rockaway,Morris,NJ,7866
"Wm. Duggan Co., Inc.","200 Forge Way, Rockaway, Morris, NJ, 07866",39PC001234,http://www.wmdugganco.com,cbarry@wmdugganco.com,862-288-1106,200 Forge Way, Rockaway,Morris,NJ,7866
Bob Plaza Movers,"77 Brower Drive, P. O. Box 5430, Brick, Ocean, NJ, 08723",39PC000208,http://bobplazamovers.com,julieb8362@comcast.net,732-920-1919,200 Forge Way, Rockaway,Ocean,NJ,7866
Joe Merola Joe's Guy With A Truck LLC,"8 Sylvia Lane, Manahawkin, Ocean, NJ, 08050",39PM001285,http://www.joesguywithatruck.com,joeguywithatruck@gmail.com,609-549-0031,8 Sylvia Lane, Manahawkin,Ocean,NJ,8050
LRG Movers LLC,"55 Ruth St., Manahawkin, NJ 08050",39PM0013230,https://lrgmovers.com/,davelrg@movers.com,732-718-2314,8 Sylvia Lane, Manahawkin,Ocean,NJ,8050
"Quality Moving, Inc.","1545 Lakewood Rd., Toms River, Ocean, NJ, 08755",39PM000679,http://www.qualitymovinginc.com/,qualitymovinginc@comcast.net,732-255-6006,1545 Lakewood Rd., Toms River,Ocean,NJ,8755
"Sea Cure Moving, Inc.","258 East Main Street, Tuckerton, Ocean, NJ, 08087",39PC000232,http://www.bekinsnj.com/,movinginfo@seacuremove.com,800-458-0026,258 East Main Street, Tuckerton,Ocean,NJ,8087
"Sett Movers, LLC","210 Lakewood Ave., Bayville, Ocean, NJ, 08721",39PM001012,https://settmovers.com,settmovers@gmail.com,877-690-7388,210 Lakewood Ave., Bayville,Ocean,NJ,8721
Freedom Moving & Storage,"20 Hanes Dr., Wayne, Passaic, NJ, 07470",39PC001182,http://freedommoving.com,afederico@freedommoving.com,201-351-5461,20 Hanes Dr., Wayne,Passaic,NJ,7470
Moving and Packing Unlimited,"8 Rhonda Place, Wanaque, Passaic, NJ, 07465",39PM001271,https://www.movingandpackingunlimited.com/,movingpackingunlimited@gmail.com,201-621-3372,8 Rhonda Place, Wanaque,Passaic,NJ,7465
Tintle's Moving Service,"41 Cannonball Rd., Pompton Lakes, Passaic, NJ, 07442",39PM001263,https://www.wheatonworldwide.com/find-a-local-agent/agents/tintles-moving-service/,tintlesmoving@gmail.com,973-835-1966,41 Cannonball Rd., Pompton Lakes,Passaic,NJ,7442
ARD Facilities Management Group,"72 Readington Rd., Branchburg, Somerset, NJ, 08876",PW001107,http://www.paramountfms.com,bsena@paramountfms.com,908-393-9990,72 Readington Rd., Branchburg,Somerset,NJ,8876
Budd Van Lines,"24 School House Road, Suite 305, Somerset, Somerset, NJ, 08873",39PC000087,http://www.buddvanlines.com/,aechavaria@buddvanlines.com,800-833-2833,72 Readington Rd., Branchburg,Somerset,NJ,8876
Central Moving Systems,"270 Foothill Road, Bridgewater, Somerset, NJ, 08807",39PC000201,http://www.centralmoving.com/,info@centralmoving.com,732-764-0405,270 Foothill Road, Bridgewater,Somerset,NJ,8807
"Nelson-Westerberg of NJ, Inc.","180 Meister Avenue, Somerville, Somerset, NJ, 08876",39PC000104,http://www.nelsonwesterberg.com/,lreo@atlasworldgroup.com,908-725-3800,180 Meister Avenue, Somerville,Somerset,NJ,8876
World Class Moving Systems,"5 Easy Street, Bound Brook, NJ 08805",39PC00132500,https://www.worldclassmove.com,dcacchione@movewithclass.com,732-560-5707,180 Meister Avenue, Somerville,Somerset,NJ,8876
Delicato Transport LLC,"51 US Highway 206, Suite 107, Augusta, Sussex, NJ, 07822",39PC000926,http://www.delicatomove.com,freeestimate@delicatomove.com,973-383-2078,180 Meister Avenue, Somerville,Sussex,NJ,8876
"Jim Mahon Moving & Trucking, Inc.","281 Route 206 South, Sandyston, Sussex, NJ, 07826",39PC00001,No Website Found,mahonmoving@optimum.net,973-948-4535,281 Route 206 South, Sandyston,Sussex,NJ,7826
Prudent Corporation,"69 King Street, Dover, Morris, NJ, 07801",39PC000626,https://www.prudentmovers.com/,info@prudentmovers.com,973-366-9055,69 King Street, Dover,Sussex,NJ,7801
The Padded Wagon,"281 Route 206 South, Branchville, Sussex, NJ, 07826",39PC000808,http://www.paddedwagon.com/,ed@paddedwagon.com,718-585-9445,281 Route 206 South, Branchville,Sussex,NJ,7826
Flatbush Moving Van Company,"830 East Elizabeth Ave., Linden, Union, NJ, 07036",39PC001028,http://www.flatbushmoving.com,j.liantonio@att.net,908-925-8500,830 East Elizabeth Ave., Linden,Union,NJ,7036
Liberty Transportation & Stg.,"50 Industrial Rd., Berkeley Heights, Union, NJ, 07922",39PC000109,http://www.libertygrp.com,Info@libertygrp.com,908-964-8390,50 Industrial Rd., Berkeley Heights,Union,NJ,7922
Main Street Movers Inc.,"100 Industrial Rd., Berkeley Heights, Union, NJ, 07922",39PC001044,http://www.mainstreetmovers.com,karenm@mainstreetmovers.com,973-732-3700,100 Industrial Rd., Berkeley Heights,Union,NJ,7922
"Reliable Van & Storage Co., Inc.","550 Division Street, Elizabeth, Union, NJ, 07201",39PC000388,http://www.newjerseymoversnj.com/index.aspx,fgennuso@reliablevan.com,908-352-5300,550 Division Street, Elizabeth,Union,NJ,7201
Shleppers Moving,"107 Trumbull St., Bldg. S13, Ellizabeth, Union, NJ, 07206",39PM001185,https://www.shleppers.com,Eyal@Shleppers.com,201-227-2001,550 Division Street, Elizabeth,Union,NJ,7201
University Van Lines,"1098 Randolph Road, Rahway, Union, NJ, 07065",39PC00102,http://www.atlasvanlines.com/movers/new-jersey-nj/rahway-nj/2075/university-van-lines,jquigley@universityvanlines.com,732-882-1060,1098 Randolph Road, Rahway,Union,NJ,7065
Fast Moving Company,"349 Blau Rd., Hackettstown, Warren, NJ, 07840",39PC000608,http://www.fastmovingcompany.com/,fastmm@fastmvg.com,973-586-8900,349 Blau Rd., Hackettstown,Warren,NJ,07840
